Rank,Name,Pos,Team,Bye,Proj,ADP
67,Carnell Tate,WR,TEN,9,202.2,77.7
68,Mike Evans,WR,SF,8,180.1,83.8
69,Marvin Harrison Jr.,WR,ARI,14,193.6,78.6
70,Joe Burrow,QB,CIN,6,304.3,53.6
72,Rhamondre Stevenson,RB,NE,11,203.3,78.3
73,Jalen Hurts,QB,PHI,10,319.8,54.7
74,Michael Pittman Jr.,WR,PIT,9,197.2,89.5
75,Tony Pollard,RB,TEN,9,185.5,87.5
76,Harold Fannin Jr.,TE,CLE,11,188.9,70.5
77,Kyle Pitts Sr.,TE,ATL,11,185.1,68.7
78,DK Metcalf,WR,PIT,9,195.8,85.2
79,George Kittle,TE,SF,8,193.4,73.3
80,Courtland Sutton,WR,DEN,10,204.1,81.3
81,Christian Watson,WR,GB,11,188.8,88.6
85,Dak Prescott,QB,DAL,14,286.1,71.9
87,Parker Washington,WR,JAX,7,187.2,89.6
88,Jaylen Warren,RB,PIT,9,194.0,86.6
89,Sam LaPorta,TE,DET,6,188.9,74.0
90,Kenny Gainwell,RB,TB,10,177.9,100.0
91,Jaxson Dart,QB,NYG,8,299.5,83.3
92,Josh Jacobs,RB,GB,11,164.4,74.9
93,Wan'Dale Robinson,WR,TEN,9,174.8,113.0
95,Jonathon Brooks,RB,CAR,5,179.9,104.2
97,Justin Herbert,QB,LAC,7,283.6,85.7
100,Michael Wilson,WR,ARI,14,176.4,102.6
102,MarShawn Lloyd,RB,GB,11,134.8,118.2
104,Caleb Williams,QB,CHI,10,281.9,89.2
106,Rico Dowdle,RB,PIT,9,188.3,95.0
107,Stefon Diggs,WR,WSH,7,173.1,101.7
108,Alec Pierce,WR,IND,13,185.4,108.2
109,Travis Hunter,WR,JAX,7,103.6,118.6
110,Tucker Kraft,TE,GB,11,172.3,91.1
111,Chuba Hubbard,RB,CAR,5,180.2,108.0
112,Jakobi Meyers,WR,JAX,7,181.9,122.4
114,Trevor Lawrence,QB,JAX,7,289.5,100.9
117,Aaron Jones Sr.,RB,MIN,6,178.0,113.8
118,Brian Thomas Jr.,WR,JAX,7,176.7,113.5
119,Brandon Aubrey,K,DAL,14,171.5,84.7
120,Brock Purdy,QB,SF,8,292.0,110.3
121,Rachaad White,RB,WSH,7,164.3,125.3
122,J.K. Dobbins,RB,DEN,10,174.8,111.6
124,Kyle Monangai,RB,CHI,10,175.2,123.5
125,Travis Kelce,TE,KC,5,177.2,94.6
126,Matthew Golden,WR,GB,11,188.9,112.7
127,Chris Godwin Jr.,WR,TB,10,157.3,121.7
130,Jordan Addison,WR,MIN,6,171.1,121.2
131,Josh Downs,WR,IND,13,157.7,136.4
132,Dallas Goedert,TE,PHI,10,176.9,103.5
133,RJ Harvey,RB,DEN,10,149.4,125.5
134,Patrick Mahomes,QB,KC,5,291.0,108.8
135,Khalil Shakir,WR,BUF,7,171.3,140.3
138,Blake Corum,RB,LAR,11,159.3,125.5
139,Bo Nix,QB,DEN,10,295.7,103.4
140,Matthew Stafford,QB,LAR,11,292.8,93.3
141,Jake Ferguson,TE,DAL,14,166.6,110.8
144,Makai Lemon,WR,PHI,10,155.2,132.3
145,Isaiah Likely,TE,NYG,8,155.1,122.2
146,Quentin Johnston,WR,LAC,7,165.4,130.4
147,Jacory Croskey-Merritt,RB,WSH,7,159.0,136.1
148,Jayden Reed,WR,GB,11,173.7,139.4
150,Mark Andrews,TE,BAL,13,169.1,126.5
151,De'Zhaun Stribling,WR,SF,8,160.2,138.5
152,Kyler Murray,QB,MIN,6,283.4,137.2
153,Xavier Worthy,WR,KC,5,173.0,131.0
154,Romeo Doubs,WR,NE,11,150.6,147.4
156,Jalen Coker,WR,CAR,5,147.0,154.3
157,Dalton Kincaid,TE,BUF,7,155.6,130.8
158,Tyjae Spears,RB,TEN,9,154.3,146.4
159,Cameron Dicker,K,LAC,7,161.9,112.6
160,Tyler Shough,QB,NO,8,265.6,152.3
161,Jordan Mason,RB,MIN,6,151.7,139.0
163,Deebo Samuel Sr.,WR,SF,8,149.6,143.5
164,Jared Goff,QB,DET,6,269.1,136.5
165,Woody Marks,RB,HOU,8,131.8,151.8
167,Jason Myers,K,SEA,11,158.5,115.4
171,KC Concepcion,WR,CLE,11,156.0,146.9
173,Jalen McMillan,WR,TB,10,132.9,163.7
175,Tank Dell,WR,HOU,8,,164.5
176,Texans D/ST,DST,HOU,8,129.1,93.0
177,Zach Charbonnet,RB,SEA,11,134.0,153.2
179,Broncos D/ST,DST,DEN,10,130.8,99.7
181,Jonah Coleman,RB,DEN,10,74.4,166.2
182,Baker Mayfield,QB,TB,10,264.7,146.3
183,Ka'imi Fairbairn,K,HOU,8,157.8,124.4
184,Isiah Pacheco,RB,DET,6,71.2,160.4
188,Chris Rodriguez Jr.,RB,JAX,7,72.0,164.4
189,Harrison Mevis,K,LAR,11,159.4,135.5
190,Daniel Jones,QB,IND,13,266.6,160.2
191,Juwan Johnson,TE,NO,8,146.9,157.7
192,Alvin Kamara,RB,NO,8,113.4,161.5
195,Tyler Allgeier,RB,ARI,14,92.6,162.8
198,Mike Washington Jr.,RB,LV,13,67.1,163.7
199,Dylan Sampson,RB,CLE,11,88.2,169.1
200,Hunter Henry,TE,NE,11,150.3,153.1
201,T.J. Hockenson,TE,MIN,6,158.9,152.5
203,Keaton Mitchell,RB,LAC,7,93.9,169.3
205,Keenan Allen,WR,IND,13,124.2,165.3
206,Samaje Perine,RB,CIN,6,100.3,
207,Eddy Pineiro,K,SF,8,155.2,141.7
208,Jordan Love,QB,GB,11,263.4,155.3
211,Brian Robinson Jr.,RB,ATL,11,94.0,167.9
213,Terrance Ferguson,TE,LAR,11,135.7,168.6
214,Rashid Shaheed,WR,SEA,11,144.4,160.9
215,Denzel Boston,WR,CLE,11,142.3,169.2
216,Jerry Jeudy,WR,CLE,11,139.8,168.9
218,Calvin Ridley,WR,TEN,9,135.3,168.7
221,Adonai Mitchell,WR,NYJ,13,127.9,
222,Caleb Douglas,WR,MIA,6,113.4,
223,Malik Willis,QB,MIA,6,239.8,167.6
226,Jordyn Tyson,WR,NO,8,99.8,168.1
227,Tre Tucker,WR,LV,13,138.0,169.4
228,Jalen Nailor,WR,LV,13,124.2,
229,Braelon Allen,RB,NYJ,13,76.8,
230,Tank Bigsby,RB,PHI,10,64.1,
234,Kenyon Sadiq,TE,NYJ,13,146.1,165.0
